nse_symbol,ex_date,share_multiplier,source_records,parsed_unique_factors,subjects
ATLANTAA,2010-11-08,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
ATLASCYCLE,2017-10-30,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
ATULAUTO,2014-09-12,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
AUBANK,2022-06-09,2.0,1,1,Bonus 1:1
AURIGROW,2022-01-20,2.0,1,1,Bonus 1:1
AURIGROW,2022-03-24,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
AURIONPRO,2024-06-27,2.0,1,1,Bonus 1:1
AUROPHARMA,2011-02-10,5.0,1,1,Face Value Split From Rs.5/- To Re.1/-
AUROPHARMA,2015-07-20,2.0,1,1,Bonus 1:1
AURUS,2014-09-29,1.5,1,1,Bonus 1:2
AURUS,2017-07-12,1.4,1,1, Bonus 2:5
AUSTRAL,2009-08-07,10.0,1,1,Fv Split Rs.10/- To Re.1/
AVADHSUGAR,2019-06-27,2.0,1,1, Bonus 1:1
AVANTIFEED,2015-11-26,5.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
AVANTIFEED,2018-06-26,3.0,1,2, Bonus 1:2/Face Value Split (Sub-Division) From Rs 2/- Per Share To Re 1/- Per Share
AVONMORE,2024-06-28,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share
AVROIND,2026-05-05,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
AVTNPL,2012-06-07,10.0,1,1,Face Value Split From Rs 10 To Re 1
AVTNPL,2013-09-26,2.0,1,1,Bonus 1:1
AXISBANK,2014-07-28,5.0,1,1,Face Value Split From Rs 10/- To Rs 2/- Per Share
AXITA,2022-10-21,10.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
AXITA,2023-12-22,1.3333333333,1,1,Bonus 1:3
AXITA,2024-09-20,1.3333333333,1,1,Bonus 1:3
AXITA,2026-02-13,1.1,1,1,Bonus 1:10
BAJAJ-AUTO,2010-09-08,2.0,1,1,Bonus 1:1
BAJAJCON,2011-05-05,5.0,1,1,Face Value Split From Rs.5/- To Re.1/-
BAJAJELEC,2010-01-28,5.0,1,1,Fv Split Rs.10 To Rs.2
BAJAJFINSV,2022-09-13,10.0,2,2,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share | Bonus 1:1
BAJFINANCE,2016-09-08,10.0,1,2, Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BAJFINANCE,2025-06-16,10.0,2,2,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share | Bonus 4:1
BALAMINES,2010-11-18,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
BALAXI,2024-05-30,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BALKRISIND,2010-12-20,5.0,1,1,Face Value Split From Rs.10/- To Rs.2/-
BALKRISIND,2017-12-21,2.0,1,1, Bonus 1:1
BALMLAWRIE,2013-05-23,1.75,1,1,Bonus 3:4
BALMLAWRIE,2016-12-26,4.0,1,1, Bonus 3:1
BALMLAWRIE,2019-12-26,1.5,1,1, Bonus 1:2
BANCOINDIA,2007-08-30,2.0,1,1,Bonus 1:1
BANCOINDIA,2007-11-23,5.0,1,1,Fv Split Rs.10/- To Rs.2/
BANCOINDIA,2024-12-30,2.0,1,1,Bonus 1:1
BANKBARODA,2015-01-22,5.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BANKRAJAS,2007-08-16,1.25,1,1,Agm/Div-20%/Bonus 1:4
BANKRAJAS,2008-09-18,1.2,1,1,Bonus 1: 5
BANSWRAS,2022-09-08,2.0,1,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BASML,2021-02-12,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BATAINDIA,2015-10-07,2.0,1,1, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BATLIBOI,2007-09-26,2.0,1,1,Fv Split Rs.10/- To Rs.5/
