record_id,nse_symbol,isin,company_name,board,delisted_date,delisting_type,source
NSEDL0388,SMPL,INE215G01021,Splendid Metal Products Limited,Main Board,2022-01-14,Voluntary Delisting ,NSE official delisted companies register
NSEDL0389,SYNCOM,INE602K01014,Syncom Healthcare Limited,Main Board,2022-01-14,Voluntary Delisting ,NSE official delisted companies register
NSEDL0390,GTNTEX,INE302H01017,GTN Textiles Limited,Main Board,2022-01-19,Voluntary Delisting ,NSE official delisted companies register
NSEDL0391,PATSPINLTD,INE790C01014,Patspin India Limited,Main Board,2022-01-19,Voluntary Delisting ,NSE official delisted companies register
NSEDL0392,ARIHANT,INE413D01011,Arihant Foundations & Housing Limited,Main Board,2022-02-11,Voluntary Delisting ,NSE official delisted companies register
NSEDL0393,KWALITY,INE775B01025,Kwality Limited,Main Board,2022-02-28,Voluntary Delisting ,NSE official delisted companies register
NSEDL0394,PRADIP,INE495J01015,Pradip Overseas Limited,Main Board,2022-03-16,Voluntary Delisting ,NSE official delisted companies register
NSEDL0395,PUSHPREALM,INE728W01012,Pushpanjali Realms and Infratech Limited,SME,2022-03-23,Compulsory Delisting ,NSE official delisted companies register
NSEDL0396,STINDIA,INE090C01019,STI India Limited,Main Board,2022-03-23,Compulsory Delisting ,NSE official delisted companies register
NSEDL0397,VIMALOIL,INE067D01015,Vimal Oil & Foods Ltd,Main Board,2022-03-23,Delisting - Liquidation,NSE official delisted companies register
NSEDL0398,PAEL,INE766A01018,PAE Limited,Main Board,2022-04-18,Voluntary Delisting ,NSE official delisted companies register
NSEDL0399,ROHITFERRO,INE248H01012,Rohit Ferro-Tech Limited,Main Board,2022-05-04,Voluntary Delisting ,NSE official delisted companies register
NSEDL0400,CHROMATIC,INE662C01015,Chromatic India Limited,Main Board,2022-07-18,Compulsory Delisting ,NSE official delisted companies register
NSEDL0401,PBAINFRA,INE160H01019,PBA Infrastructure Limited,Main Board,2022-09-01,Voluntary Delisting ,NSE official delisted companies register
NSEDL0402,RAMSARUP,INE005D01015,Ramsarup Industries Limited ,Main Board,2022-09-29,Voluntary Delisting ,NSE official delisted companies register
NSEDL0403,ANSALHSG,INE880B01015,Ansal Housing Limited,Main Board,2022-10-19,Voluntary Delisting ,NSE official delisted companies register
NSEDL0404,TCIDEVELOP,INE662L01016,TCI Developers Limited,Main Board,2022-11-18,Voluntary Delisting ,NSE official delisted companies register
NSEDL0405,UTTAMSTL,INE699A01011,Uttam Galva Steels Limited,Main Board,2022-12-08,Voluntary Delisting ,NSE official delisted companies register
NSEDL0406,AUSTRAL,INE455J01027,Austral Coke & Projects Limited,Main Board,2022-12-15,Compulsory Delisting ,NSE official delisted companies register
NSEDL0407,BHAGYAPROP,INE363W01018,Bhagyanagar Properties Limited ,Main Board,2022-12-19,Voluntary Delisting ,NSE official delisted companies register
NSEDL0408,SUBCAPCITY,INE845C01016,International Constructions Limited,Main Board,2023-01-12,Voluntary Delisting ,NSE official delisted companies register
NSEDL0409,COX&KINGS,INE008I01026,Cox & Kings Limited,Main Board,2023-02-23,Delisting - Liquidation,NSE official delisted companies register
NSEDL0410,STERLINBIO,INE324C01038,Sterling Biotech Limited,Main Board,2023-03-03,Voluntary Delisting ,NSE official delisted companies register
NSEDL0411,SINTEX,INE429C01035,Sintex Industries Limited,Main Board,2023-03-10,Voluntary Delisting ,NSE official delisted companies register
NSEDL0412,CKPLEISURE,INE418Y01016,CKP Leisure Limited,SME,2023-03-22,Compulsory Delisting ,NSE official delisted companies register
NSEDL0413,POWERFUL,INE650Z01011,Powerful Technologies Limited,SME,2023-03-22,Compulsory Delisting ,NSE official delisted companies register
